2025-07-31 22:12:30 [INFO]: Initiating new USER DB connection 
2025-07-31 22:12:32 [INFO]: MongoDB connected successfully {"uri":"mongodb+srv://AifinderSaas:****@cluster0.vkgdjmz.mongodb.net/SaasDB?retryWrites=true&w=majority"}
2025-07-31 22:12:32 [INFO]: USER DB connected successfully 
2025-07-31 22:14:25 [INFO]: Reusing existing USER DB connection 
2025-07-31 22:14:45 [INFO]: Reusing existing USER DB connection 
2025-07-31 22:15:18 [INFO]: Reusing existing USER DB connection 
2025-07-31 22:15:18 [INFO]: Reusing existing USER DB connection 
2025-07-31 22:15:18 [INFO]: Reusing existing USER DB connection 
2025-07-31 22:15:18 [INFO]: Reusing existing USER DB connection 
2025-07-31 22:15:18 [INFO]: Reusing existing USER DB connection 
2025-07-31 22:15:19 [INFO]: Reusing existing USER DB connection 
2025-07-31 22:15:19 [INFO]: Reusing existing USER DB connection 
2025-07-31 22:15:19 [INFO]: Reusing existing USER DB connection 
2025-07-31 22:15:20 [INFO]: Reusing existing USER DB connection 
2025-07-31 22:15:20 [INFO]: Reusing existing USER DB connection 
2025-07-31 22:15:23 [INFO]: Reusing existing USER DB connection 
2025-07-31 22:15:23 [INFO]: Reusing existing USER DB connection 
2025-07-31 22:15:23 [INFO]: Reusing existing USER DB connection 
2025-07-31 22:15:23 [INFO]: Reusing existing USER DB connection 
2025-07-31 22:15:23 [INFO]: Reusing existing USER DB connection 
2025-07-31 22:15:24 [INFO]: Reusing existing USER DB connection 
2025-07-31 22:15:24 [INFO]: Reusing existing USER DB connection 
2025-07-31 22:15:24 [INFO]: Reusing existing USER DB connection 
2025-07-31 22:15:24 [INFO]: Reusing existing USER DB connection 
2025-07-31 22:15:24 [INFO]: Reusing existing USER DB connection 
2025-07-31 22:15:25 [INFO]: Reusing existing USER DB connection 
2025-07-31 22:15:25 [INFO]: Reusing existing USER DB connection 
2025-07-31 22:15:25 [INFO]: Reusing existing USER DB connection 
2025-07-31 22:15:25 [INFO]: Reusing existing USER DB connection 
2025-07-31 22:15:25 [INFO]: Reusing existing USER DB connection 
2025-07-31 22:15:25 [INFO]: Reusing existing USER DB connection 
2025-07-31 22:15:26 [INFO]: Reusing existing USER DB connection 
2025-07-31 22:15:26 [INFO]: Reusing existing USER DB connection 
2025-07-31 22:15:26 [INFO]: Reusing existing USER DB connection 
2025-07-31 22:15:26 [INFO]: Reusing existing USER DB connection 
2025-07-31 22:15:26 [INFO]: Reusing existing USER DB connection 
2025-07-31 22:15:26 [INFO]: Reusing existing USER DB connection 
2025-07-31 22:15:27 [INFO]: Reusing existing USER DB connection 
2025-07-31 22:15:27 [INFO]: Reusing existing USER DB connection 
2025-07-31 22:15:27 [INFO]: Reusing existing USER DB connection 
2025-07-31 22:15:27 [INFO]: Reusing existing USER DB connection 
2025-07-31 22:15:27 [INFO]: Reusing existing USER DB connection 
2025-07-31 22:15:27 [INFO]: Reusing existing USER DB connection 
2025-07-31 22:15:28 [INFO]: Reusing existing USER DB connection 
2025-07-31 22:15:28 [INFO]: Reusing existing USER DB connection 
2025-07-31 22:15:28 [INFO]: Reusing existing USER DB connection 
2025-07-31 22:15:28 [INFO]: Reusing existing USER DB connection 
2025-07-31 22:15:28 [INFO]: Reusing existing USER DB connection 
2025-07-31 22:15:29 [INFO]: Reusing existing USER DB connection 
2025-07-31 22:15:29 [INFO]: Reusing existing USER DB connection 
2025-07-31 22:15:29 [INFO]: Reusing existing USER DB connection 
2025-07-31 22:15:29 [INFO]: Reusing existing USER DB connection 
2025-07-31 22:15:29 [INFO]: Reusing existing USER DB connection 
2025-07-31 22:15:29 [INFO]: Reusing existing USER DB connection 
2025-07-31 22:15:29 [INFO]: Reusing existing USER DB connection 
2025-07-31 22:15:30 [INFO]: Reusing existing USER DB connection 
2025-07-31 22:15:30 [INFO]: Reusing existing USER DB connection 
2025-07-31 22:15:30 [INFO]: Reusing existing USER DB connection 
2025-07-31 22:15:30 [INFO]: Reusing existing USER DB connection 
2025-07-31 22:15:30 [INFO]: Reusing existing USER DB connection 
2025-07-31 22:15:30 [INFO]: Reusing existing USER DB connection 
2025-07-31 22:15:30 [INFO]: Reusing existing USER DB connection 
2025-07-31 22:15:31 [INFO]: Reusing existing USER DB connection 
2025-07-31 22:15:31 [INFO]: Reusing existing USER DB connection 
2025-07-31 22:15:31 [INFO]: Reusing existing USER DB connection 
2025-07-31 22:15:31 [INFO]: Reusing existing USER DB connection 
2025-07-31 22:15:31 [INFO]: Reusing existing USER DB connection 
2025-07-31 22:15:31 [INFO]: Reusing existing USER DB connection 
2025-07-31 22:15:31 [INFO]: Reusing existing USER DB connection 
2025-07-31 22:15:32 [INFO]: Reusing existing USER DB connection 
2025-07-31 22:15:32 [INFO]: Reusing existing USER DB connection 
2025-07-31 22:15:32 [INFO]: Reusing existing USER DB connection 
2025-07-31 22:15:32 [INFO]: Reusing existing USER DB connection 
2025-07-31 22:15:32 [INFO]: Reusing existing USER DB connection 
2025-07-31 22:15:32 [INFO]: Reusing existing USER DB connection 
2025-07-31 22:15:32 [INFO]: Reusing existing USER DB connection 
2025-07-31 22:15:33 [INFO]: Reusing existing USER DB connection 
2025-07-31 22:15:33 [INFO]: Reusing existing USER DB connection 
2025-07-31 22:15:33 [INFO]: Reusing existing USER DB connection 
2025-07-31 22:15:33 [INFO]: Reusing existing USER DB connection 
2025-07-31 22:15:33 [INFO]: Reusing existing USER DB connection 
2025-07-31 22:15:33 [INFO]: Reusing existing USER DB connection 
2025-07-31 22:15:34 [INFO]: Reusing existing USER DB connection 
2025-07-31 22:15:34 [INFO]: Reusing existing USER DB connection 
2025-07-31 22:15:34 [INFO]: Reusing existing USER DB connection 
2025-07-31 22:15:34 [INFO]: Reusing existing USER DB connection 
2025-07-31 22:15:34 [INFO]: Reusing existing USER DB connection 
2025-07-31 22:15:34 [INFO]: Reusing existing USER DB connection 
2025-07-31 22:15:34 [INFO]: Reusing existing USER DB connection 
2025-07-31 22:15:35 [INFO]: Reusing existing USER DB connection 
2025-07-31 22:15:35 [INFO]: Reusing existing USER DB connection 
2025-07-31 22:15:35 [INFO]: Reusing existing USER DB connection 
2025-07-31 22:15:35 [INFO]: Reusing existing USER DB connection 
2025-07-31 22:15:35 [INFO]: Reusing existing USER DB connection 
2025-07-31 22:15:35 [INFO]: Reusing existing USER DB connection 
2025-07-31 22:15:36 [INFO]: Reusing existing USER DB connection 
2025-07-31 22:15:36 [INFO]: Reusing existing USER DB connection 
2025-07-31 22:15:36 [INFO]: Reusing existing USER DB connection 
2025-07-31 22:15:36 [INFO]: Reusing existing USER DB connection 
2025-07-31 22:15:36 [INFO]: Reusing existing USER DB connection 
2025-07-31 22:15:37 [INFO]: Reusing existing USER DB connection 
2025-07-31 22:15:37 [INFO]: Reusing existing USER DB connection 
2025-07-31 22:15:37 [INFO]: Reusing existing USER DB connection 
2025-07-31 22:15:38 [INFO]: Reusing existing USER DB connection 
2025-07-31 22:15:38 [INFO]: Reusing existing USER DB connection 
2025-07-31 22:15:38 [INFO]: Reusing existing USER DB connection 
2025-07-31 22:15:39 [INFO]: Reusing existing USER DB connection 
2025-07-31 22:15:39 [INFO]: Reusing existing USER DB connection 
2025-07-31 22:15:39 [INFO]: Reusing existing USER DB connection 
2025-07-31 22:15:40 [INFO]: Reusing existing USER DB connection 
2025-07-31 22:15:40 [INFO]: Reusing existing USER DB connection 
2025-07-31 22:15:40 [INFO]: Reusing existing USER DB connection 
2025-07-31 22:15:40 [INFO]: Reusing existing USER DB connection 
2025-07-31 22:15:40 [INFO]: Reusing existing USER DB connection 
2025-07-31 22:15:41 [INFO]: Reusing existing USER DB connection 
2025-07-31 22:15:41 [INFO]: Reusing existing USER DB connection 
2025-07-31 22:15:41 [INFO]: Reusing existing USER DB connection 
2025-07-31 22:15:41 [INFO]: Reusing existing USER DB connection 
2025-07-31 22:15:41 [INFO]: Reusing existing USER DB connection 
2025-07-31 22:15:42 [INFO]: Reusing existing USER DB connection 
2025-07-31 22:15:42 [INFO]: Reusing existing USER DB connection 
2025-07-31 22:15:42 [INFO]: Reusing existing USER DB connection 
2025-07-31 22:15:42 [INFO]: Reusing existing USER DB connection 
2025-07-31 22:15:42 [INFO]: Reusing existing USER DB connection 
2025-07-31 22:15:43 [INFO]: Reusing existing USER DB connection 
2025-07-31 22:15:43 [INFO]: Reusing existing USER DB connection 
2025-07-31 22:15:43 [INFO]: Reusing existing USER DB connection 
2025-07-31 22:15:43 [INFO]: Reusing existing USER DB connection 
2025-07-31 22:15:43 [INFO]: Reusing existing USER DB connection 
2025-07-31 22:15:44 [INFO]: Reusing existing USER DB connection 
2025-07-31 22:15:44 [INFO]: Reusing existing USER DB connection 
2025-07-31 22:15:44 [INFO]: Reusing existing USER DB connection 
2025-07-31 22:15:44 [INFO]: Reusing existing USER DB connection 
2025-07-31 22:15:44 [INFO]: Reusing existing USER DB connection 
2025-07-31 22:15:44 [INFO]: Reusing existing USER DB connection 
2025-07-31 22:15:45 [INFO]: Reusing existing USER DB connection 
2025-07-31 22:15:45 [INFO]: Reusing existing USER DB connection 
2025-07-31 22:15:45 [INFO]: Reusing existing USER DB connection 
2025-07-31 22:15:45 [INFO]: Reusing existing USER DB connection 
2025-07-31 22:15:46 [INFO]: Reusing existing USER DB connection 
2025-07-31 22:15:46 [INFO]: Reusing existing USER DB connection 
2025-07-31 22:15:46 [INFO]: Reusing existing USER DB connection 
2025-07-31 22:15:46 [INFO]: Reusing existing USER DB connection 
2025-07-31 22:15:46 [INFO]: Reusing existing USER DB connection 
2025-07-31 22:15:47 [INFO]: Reusing existing USER DB connection 
2025-07-31 22:16:01 [INFO]: Reusing existing USER DB connection 
2025-07-31 22:16:01 [INFO]: Reusing existing USER DB connection 
2025-07-31 22:16:01 [INFO]: Reusing existing USER DB connection 
2025-07-31 22:16:01 [INFO]: Reusing existing USER DB connection 
2025-07-31 22:16:02 [INFO]: Reusing existing USER DB connection 
2025-07-31 22:16:02 [INFO]: Reusing existing USER DB connection 
2025-07-31 22:16:02 [INFO]: Reusing existing USER DB connection 
2025-07-31 22:16:02 [INFO]: Reusing existing USER DB connection 
2025-07-31 22:16:03 [INFO]: Reusing existing USER DB connection 
2025-07-31 22:16:03 [INFO]: Reusing existing USER DB connection 
2025-07-31 22:16:03 [INFO]: Reusing existing USER DB connection 
2025-07-31 22:16:03 [INFO]: Reusing existing USER DB connection 
2025-07-31 22:16:07 [INFO]: Reusing existing USER DB connection 
2025-07-31 22:16:07 [INFO]: Reusing existing USER DB connection 
